Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,57.549999,59.389999,57.52,59.189999,45.690918,5313900
1/5/2009,58.790001,59.09,58.110001,58.5,45.158264,3768800
1/6/2009,58.740002,59.810001,58.610001,59.189999,45.690918,4966200
1/7/2009,58.610001,58.959999,57.580002,58.07,44.826347,4598100
1/8/2009,57.68,58.709999,57.450001,58.580002,45.220032,3944900
1/9/2009,58.799999,59.009998,57.57,57.740002,44.571594,3661000
1/12/2009,57.639999,57.900002,56.689999,57.080002,44.062122,4182500
1/13/2009,56.849998,57.299999,55.709999,56.25,43.42141,4430100
1/14/2009,55.310001,56,54.5,55.040001,42.487385,4520800
1/15/2009,55.080002,55.759998,54.290001,55.169998,42.587719,4777400
1/16/2009,55.59,56.630001,54.889999,56.419998,43.552658,5621900
1/20/2009,56.419998,56.599998,53.849998,53.919998,41.622822,5683600
1/21/2009,54.610001,54.799999,52.75,54.240002,41.869823,5892800
1/22/2009,53.650002,54.57,52.830002,54.060001,41.730888,4788900
1/23/2009,53.009998,53.669998,52.310001,52.900002,40.835426,5684800
1/26/2009,53.540001,54.549999,52.950001,53.560001,41.344925,5185200
1/27/2009,53.75,54.509998,53.23,53.990002,41.676849,4722700
1/28/2009,54.450001,55.849998,53.799999,55.419998,42.780716,6105400
1/29/2009,55.630001,57.709999,55.029999,56.549999,43.653008,8154300
1/30/2009,56.59,56.810001,53.290001,53.790001,41.522461,7620300
2/2/2009,52.790001,53.02,50.16,50.619999,39.07542,9052900
2/3/2009,51.25,51.82,50.299999,51.639999,39.862801,7715700
2/4/2009,51.91,52.450001,50.610001,50.84,39.245247,4722400
2/5/2009,50.549999,51.830002,50.009998,51.549999,39.793339,5291000
2/6/2009,51.630001,52.919998,51.400002,52.389999,40.441738,5305900
2/9/2009,52.459999,54.66,52.299999,54.110001,41.76947,7146900
2/10/2009,53.860001,54.110001,50.779999,51.080002,39.430504,6909600
2/11/2009,51.759998,52.189999,50.759998,51.290001,39.592602,5847600
2/12/2009,50.450001,50.560001,48.639999,49.970001,38.573666,8495400
2/13/2009,50.599998,50.599998,49.25,49.419998,38.149097,4810600
2/17/2009,48.93,48.93,47.200001,47.419998,36.605221,8653800
2/18/2009,47.259998,47.580002,46.610001,47.139999,36.784698,4963800
2/19/2009,46.580002,48.040001,46.580002,47.07,36.73008,5554600
2/20/2009,46.84,47.93,46.439999,47.25,36.870533,8729300
2/23/2009,47.560001,47.59,45.360001,45.41,35.434723,6776500
2/24/2009,45.73,47.619999,45.349998,47.400002,36.987587,8260400
2/25/2009,47.049999,47.450001,46.029999,46.610001,36.37112,8566600
2/26/2009,47.209999,47.470001,46.290001,46.330002,36.152622,6426200
2/27/2009,45.650002,46.369999,45.169998,45.459999,35.473751,6911300
3/2/2009,44.619999,45.18,42.75,42.84,33.429287,8116600
3/3/2009,43.169998,43.98,42.700001,43.119999,33.647789,9081400
3/4/2009,43.880001,45.43,43.599998,44.82,34.974331,9040400
3/5/2009,43.529999,44.029999,42.040001,42.509998,33.171772,8217600
3/6/2009,42.84,43.279999,40.869999,41.830002,32.641159,9174100
3/9/2009,41.310001,42.450001,41.200001,42.07,32.828438,7150100
3/10/2009,42.099998,45.549999,41.799999,45.490002,35.497154,10699800
3/11/2009,44.869999,47.169998,44.869999,46.799999,36.519394,8235400
3/12/2009,47.049999,48.02,46.119999,48,37.455776,6201500
3/13/2009,48.32,48.5,47.310001,48,37.455776,5058300
3/16/2009,48.48,48.599998,47.349998,47.470001,37.042198,5167300
3/17/2009,47.419998,48.779999,47.419998,48.759998,38.048832,4977600
3/18/2009,48.27,49.75,47.689999,49.200001,38.392181,6244100
3/19/2009,49.07,49.189999,47.130001,47.470001,37.042198,6993700
3/20/2009,47.360001,47.580002,45.599998,45.93,35.840511,8475400
3/23/2009,46.799999,49.41,46.57,49.32,38.485809,7438500
3/24/2009,48.450001,49.459999,48.060001,48.299999,37.689877,4964700
3/25/2009,48.849998,50.759998,47.75,49.02,38.25172,7846700
3/26/2009,49.349998,51.130001,49.029999,51.029999,39.820179,7299000
3/27/2009,50.299999,51.029999,49.93,50.330002,39.273945,4684300
3/30/2009,49.720001,49.939999,48.080002,48.650002,37.962997,4797300
3/31/2009,49.110001,50.549999,48.77,49.720001,38.797947,7183100
4/1/2009,48.950001,50.869999,48.720001,50.650002,39.523666,5773100
4/2/2009,51.59,52.900002,51.41,52.130001,40.678543,6961000
4/3/2009,52.23,52.490002,51.25,52.110001,40.662933,4931100
4/6/2009,52,52.200001,51.220001,52.080002,40.639519,3885300
4/7/2009,51.509998,51.610001,50.669998,50.799999,39.640694,4060600
4/8/2009,50.93,51.77,50.599998,51.380001,40.093292,4089300
4/9/2009,52.610001,53.700001,52.610001,53.130001,41.458866,5753900
4/13/2009,52.779999,53.75,52.049999,53.349998,41.630543,4586200
4/14/2009,52.93,53.560001,52.5,52.939999,41.310616,4634300
4/15/2009,52.779999,54.040001,52.349998,53.73,41.927067,4527800
4/16/2009,53.849998,55,53.200001,54.759998,42.730804,5735600
4/17/2009,55.029999,55.029999,53.639999,53.810001,41.989494,6641000
4/20/2009,53.389999,53.5,51.630001,51.970001,40.553692,4697100
4/21/2009,52.259998,53.450001,52,53.290001,41.583721,5059100
4/22/2009,52.619999,54.349998,52.25,53.060001,41.404247,5893700
4/23/2009,53.240002,54.330002,52.209999,54.209999,42.301605,6210900
4/24/2009,54.259998,57.02,53.740002,57,44.478745,11541000
4/27/2009,56.450001,58.130001,56.380001,57.349998,44.751858,7436400
4/28/2009,56.799999,57.669998,56.299999,56.549999,44.127598,4552700
4/29/2009,57,57.939999,56.779999,57.52,44.884499,4622100
4/30/2009,58.18,58.98,57,57.599998,44.946934,5355800
5/1/2009,57.560001,57.970001,56.98,57.880001,45.165432,4083200
5/4/2009,57.889999,58.759998,57.610001,58.48,45.633633,4520100
5/5/2009,58.419998,58.759998,57.779999,58.43,45.594616,4302400
5/6/2009,58.740002,59.360001,57.830002,59.139999,46.148636,5067100
5/7/2009,59.009998,59.560001,57.970001,58.77,45.859924,5627600
5/8/2009,59.209999,60.23,59.200001,60.09,46.889957,5408200
5/11/2009,59.41,59.580002,58.700001,59.110001,46.125233,3896100
5/12/2009,59.419998,59.799999,58.349998,59.529999,46.452961,4082800
5/13/2009,58.389999,58.689999,56.599998,56.939999,44.431911,5679600
5/14/2009,57.169998,58.310001,57.029999,57.939999,45.212254,4640800
5/15/2009,57.759998,58.75,57.509998,57.919998,45.196648,4747300
5/18/2009,58.299999,59.32,58.099998,59.23,46.21888,4224800
5/19/2009,59.07,59.5,58.25,59,46.039394,4100400
5/20/2009,59.099998,59.68,58.130001,58.200001,45.811127,3736900
5/21/2009,57.450001,57.700001,56.02,56.549999,44.51236,4721600
5/22/2009,56.82,56.990002,55.990002,56.07,44.134529,3773900
5/26/2009,55.950001,58.080002,55.34,57.91,45.582851,4140000
5/27/2009,57.91,58.130001,55.950001,56.040001,44.11092,4904100
5/28/2009,56.240002,56.880001,55.23,56.549999,44.51236,3933300
5/29/2009,56.689999,57.169998,55.950001,57.099998,44.945282,3782600
6/1/2009,57.900002,59.869999,57.900002,59.290001,46.669109,6007300
6/2/2009,59.240002,60.310001,59.049999,59.959999,47.196476,4231000
6/3/2009,59.560001,59.959999,58.740002,59.5,46.834404,3927800
6/4/2009,59.59,59.959999,59.119999,59.849998,47.109901,3282200
6/5/2009,60.599998,61.290001,60.040001,60.939999,47.967865,6642100
6/8/2009,60.970001,61.049999,59.07,60.689999,47.771088,5144400
6/9/2009,60.599998,60.599998,59.75,60.34,47.495598,4387400
6/10/2009,60.619999,61.220001,59.490002,60.459999,47.590046,4433100
6/11/2009,60.57,61.459999,60.5,60.580002,47.684509,3627300
6/12/2009,60.369999,61,59.91,61,48.015099,3229000
6/15/2009,60.400002,60.400002,58.709999,59.310001,46.684841,4231600
6/16/2009,59.41,59.57,58.25,58.41,45.976429,3791500
6/17/2009,58.59,59.439999,58.59,59.040001,46.472321,3826100
6/18/2009,58.889999,59.950001,58.84,59.310001,46.684841,3194500
6/19/2009,59.48,60.189999,58.93,59.369999,46.732075,5868100
6/22/2009,58.619999,59.169998,57.419998,57.470001,45.236534,5272900
6/23/2009,57.740002,57.740002,56.610001,57.060001,44.913811,4161200
6/24/2009,57.459999,58.549999,57.16,57.48,45.2444,4447700
6/25/2009,57.349998,59.060001,57.099998,58.900002,46.362129,3807900
6/26/2009,58.810001,59.470001,58.669998,59.259998,46.645489,2988600
6/29/2009,59.360001,60.07,58.799999,59.959999,47.196476,3194300
6/30/2009,59.939999,60.310001,59.59,60.099998,47.306679,6597200
7/1/2009,60.310001,61.290001,60.09,60.740002,47.810455,3839900
7/2/2009,59.900002,60.740002,59.68,60.25,47.424751,5582800
7/6/2009,59.869999,60.779999,59.630001,60.669998,47.755341,5791600
7/7/2009,61.09,61.299999,58.689999,58.759998,46.251923,7289400
7/8/2009,58.869999,59.25,57.810001,59.02,46.456577,6101500
7/9/2009,59.279999,59.470001,58.75,59.09,46.511677,3164200
7/10/2009,58.68,59.919998,58.68,59.790001,47.062664,3911400
7/13/2009,59.830002,60.529999,59.299999,60.490002,47.613674,4041600
7/14/2009,60.470001,61,60,60.630001,47.723866,3538200
7/15/2009,61.200001,62.150002,60.939999,62,48.802231,5023100
7/16/2009,61.91,63.540001,61.82,63.400002,49.904224,4129000
7/17/2009,63.139999,63.48,62.16,62.919998,49.52639,4580700
7/20/2009,63.619999,63.950001,63.080002,63.84,50.250557,3824900
7/21/2009,64.440002,64.739998,63.360001,64.199997,50.533932,5030000
7/22/2009,64.260002,64.889999,64.050003,64.669998,50.903881,4161900
7/23/2009,66.580002,69.720001,66.349998,69.43,54.650627,10778600
7/24/2009,69.400002,69.900002,68.360001,69.419998,54.642757,6128100
7/27/2009,69.389999,70.300003,69.300003,69.910004,55.028454,4158100
7/28/2009,69.650002,70.190002,69.260002,69.879997,55.004841,4394600
7/29/2009,69.330002,69.669998,68.379997,68.720001,54.091782,4666400
7/30/2009,69.730003,70.639999,69.18,69.900002,55.020592,4271800
7/31/2009,70.190002,71.389999,70.190002,70.519997,55.508602,4484100
8/3/2009,71.800003,72.5,71.25,72.139999,56.783749,5571300
8/4/2009,71.709999,72.489998,71.5,72.029999,56.697186,4795000
8/5/2009,72.349998,72.75,71.230003,71.830002,56.539738,4526400
8/6/2009,71.970001,72.589996,71.779999,72.400002,56.988419,4297300
8/7/2009,72.68,73.5,72.32,72.900002,57.381985,4455200
8/10/2009,72.589996,72.589996,70.32,70.910004,55.815582,5923800
8/11/2009,70.839996,71.529999,70.330002,71.339996,56.154045,4802100
8/12/2009,71.379997,72.669998,70.940002,72.330002,56.933327,4806800
8/13/2009,72.279999,72.919998,72.029999,72.599998,57.145821,4348700
8/14/2009,72.349998,72.489998,70.639999,71.32,56.138313,3597500
8/17/2009,70.489998,70.980003,69.529999,70.080002,55.162251,4417300
8/18/2009,70.389999,70.589996,69.900002,70.349998,55.374794,3417700
8/19/2009,69.349998,71.040001,69.260002,70.790001,56.128029,3907500
8/20/2009,70.779999,71.360001,70.5,71.230003,56.476898,2542800
8/21/2009,72,72.910004,71.260002,72.639999,57.594856,4324700
8/24/2009,72.739998,73,72.010002,72.559998,57.531425,2504500
8/25/2009,72.620003,73.209999,72.239998,72.68,57.626575,3442000
8/26/2009,72.690002,72.739998,71.269997,71.419998,56.627544,4703500
8/27/2009,71.480003,71.839996,70.459999,71.629997,56.794052,4076400
8/28/2009,71.980003,72.150002,70.900002,71.919998,57.023983,3493400
8/31/2009,71.449997,72.099998,71.199997,72.099998,57.16671,3349200
9/1/2009,71.809998,72.790001,69.93,70.120003,55.596821,5864000
9/2/2009,70.480003,71.18,69.889999,70.580002,55.961517,3259000
9/3/2009,70.739998,71.110001,70.139999,71.019997,56.31039,3194700
9/4/2009,70.980003,71.540001,70.419998,71.349998,56.572048,2251700
9/8/2009,71.699997,72.300003,71.410004,71.690002,56.841629,3368600
9/9/2009,71.610001,73.5,71.610001,73.18,58.023033,4771200
9/10/2009,73.050003,74.389999,72.510002,74.389999,58.982403,4135200
9/11/2009,74.410004,74.489998,73.720001,74,58.673157,3331400
9/14/2009,73.720001,74.639999,73.419998,74.559998,59.117195,3466400
9/15/2009,74.629997,74.879997,74,74.68,59.212315,3566900
9/16/2009,74.760002,75.489998,74.5,75.379997,59.767361,2722500
9/17/2009,75.339996,75.449997,74.5,74.889999,59.378845,3371500
9/18/2009,75.120003,75.25,74.5,74.620003,59.16478,4387900
9/21/2009,73.910004,74.68,73.910004,74.540001,59.10133,2560400
9/22/2009,74.82,75.150002,74.089996,74.970001,59.442268,2209900
9/23/2009,75.120003,76,74.300003,74.419998,59.006165,3344400
9/24/2009,74.650002,75.239998,73.629997,74.099998,58.752472,3109500
9/25/2009,74.040001,74.389999,73.370003,73.800003,58.51461,3470700
9/28/2009,73.93,75.410004,73.93,75.010002,59.473999,2390400
9/29/2009,74.779999,75.25,73.860001,73.940002,58.625607,3200500
9/30/2009,74.059998,74.989998,72.769997,73.800003,58.51461,4561800
10/1/2009,73.559998,73.870003,72.400002,72.550003,57.523521,4362700
10/2/2009,71.809998,72.349998,71.620003,71.93,57.031906,3242900
